RESULTS Sent DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Nov  5 15:10:43 2019
elapsed time: 2.5e-08s
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22001 | Message ID: 1 | Time SentFromNIC: 11.033483 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22002 | Message ID: 2 | Time SentFromNIC: 11.047323 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22003 | Message ID: 3 | Time SentFromNIC: 11.061163 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22004 | Message ID: 4 | Time SentFromNIC: 11.075003 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22005 | Message ID: 5 | Time SentFromNIC: 11.088843 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22006 | Message ID: 6 | Time SentFromNIC: 11.102683 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22007 | Message ID: 7 | Time SentFromNIC: 11.116523 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22008 | Message ID: 8 | Time SentFromNIC: 11.130363 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22009 | Message ID: 9 | Time SentFromNIC: 11.144203 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22010 | Message ID: 10 | Time SentFromNIC: 11.158043 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22011 | Message ID: 11 | Time SentFromNIC: 11.171883 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22005 | Message ID: 5 | Time SentFromNIC: 11.583483 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22012 | Message ID: 12 | Time SentFromNIC: 11.597323 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22013 | Message ID: 13 | Time SentFromNIC: 12.133483 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22014 | Message ID: 14 | Time SentFromNIC: 14.283483 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22015 | Message ID: 15 | Time SentFromNIC: 14.297323 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22016 | Message ID: 16 | Time SentFromNIC: 15.383483 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22016 | Message ID: 16 | Time SentFromNIC: 15.933483 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22016 | Message ID: 16 | Time SentFromNIC: 17.833697 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22017 | Message ID: 17 | Time SentFromNIC: 17.847537 | End 
Source: Wf:00:00:00:00:07 | NextDest: Wf:00:00:00:00:04 | Message ID: /app/node7/item-22018 | Message ID: 18 | Time SentFromNIC: 17.861377 | End 
