RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Wed Nov  6 03:27:07 2019
elapsed time: 3.5e-08s
Source: Wf:00:00:00:00:10 | Message ID: 1 | Time SentFromSrc: 11.019522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 2 | Time SentFromSrc: 11.019522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 3 | Time SentFromSrc: 11.019522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 4 | Time SentFromSrc: 11.019522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 5 | Time SentFromSrc: 11.019522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 6 | Time SentFromSrc: 11.019522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 7 | Time SentFromSrc: 11.019522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 8 | Time SentFromSrc: 11.019522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 9 | Time SentFromSrc: 11.019522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 10 | Time SentFromSrc: 11.019522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 11 | Time SentFromSrc: 11.019522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 12 | Time SentFromSrc: 11.569522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 13 | Time SentFromSrc: 12.119522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 14 | Time SentFromSrc: 13.219522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 15 | Time SentFromSrc: 14.319522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 16 | Time SentFromSrc: 15.419522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 17 | Time SentFromSrc: 16.519522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 18 | Time SentFromSrc: 17.619522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 19 | Time SentFromSrc: 18.169522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 20 | Time SentFromSrc: 19.269522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 21 | Time SentFromSrc: 20.369522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 22 | Time SentFromSrc: 21.469522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 23 | Time SentFromSrc: 22.569522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 24 | Time SentFromSrc: 23.119522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 25 | Time SentFromSrc: 24.219522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 26 | Time SentFromSrc: 25.319522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 27 | Time SentFromSrc: 26.419522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 28 | Time SentFromSrc: 27.519522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 29 | Time SentFromSrc: 28.619522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 30 | Time SentFromSrc: 29.169522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 31 | Time SentFromSrc: 30.269522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 32 | Time SentFromSrc: 31.369522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 33 | Time SentFromSrc: 32.469522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 34 | Time SentFromSrc: 33.569522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 35 | Time SentFromSrc: 34.134260 |End 
Source: Wf:00:00:00:00:10 | Message ID: 36 | Time SentFromSrc: 35.219522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 37 | Time SentFromSrc: 36.319522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 38 | Time SentFromSrc: 37.419522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 39 | Time SentFromSrc: 38.519522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 40 | Time SentFromSrc: 39.619522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 41 | Time SentFromSrc: 40.169522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 42 | Time SentFromSrc: 41.269522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 43 | Time SentFromSrc: 42.369522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 44 | Time SentFromSrc: 43.469522 |End 
Source: Wf:00:00:00:00:10 | Message ID: 45 | Time SentFromSrc: 44.369643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 46 | Time SentFromSrc: 45.469643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 47 | Time SentFromSrc: 46.569643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 48 | Time SentFromSrc: 48.219643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 49 | Time SentFromSrc: 48.219643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 49 | Time SentFromSrc: 48.769643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 50 | Time SentFromSrc: 49.319643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 51 | Time SentFromSrc: 50.419643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 52 | Time SentFromSrc: 51.519643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 53 | Time SentFromSrc: 52.619643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 54 | Time SentFromSrc: 53.169643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 55 | Time SentFromSrc: 55.319643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 56 | Time SentFromSrc: 55.319643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 57 | Time SentFromSrc: 56.419643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 57 | Time SentFromSrc: 56.969643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 58 | Time SentFromSrc: 57.519643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 59 | Time SentFromSrc: 58.619643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 60 | Time SentFromSrc: 59.169643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 60 | Time SentFromSrc: 59.719643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 61 | Time SentFromSrc: 60.269643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 62 | Time SentFromSrc: 61.369643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 63 | Time SentFromSrc: 63.819643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 64 | Time SentFromSrc: 63.819643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 65 | Time SentFromSrc: 64.369643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 66 | Time SentFromSrc: 65.469643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 67 | Time SentFromSrc: 67.119643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 68 | Time SentFromSrc: 67.119643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 69 | Time SentFromSrc: 68.219643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 70 | Time SentFromSrc: 69.319643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 71 | Time SentFromSrc: 70.419643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 72 | Time SentFromSrc: 71.519643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 73 | Time SentFromSrc: 73.669643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 74 | Time SentFromSrc: 73.669643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 75 | Time SentFromSrc: 74.219643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 76 | Time SentFromSrc: 76.369643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 77 | Time SentFromSrc: 76.369643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 78 | Time SentFromSrc: 77.469643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 79 | Time SentFromSrc: 78.569643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 80 | Time SentFromSrc: 79.669643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 81 | Time SentFromSrc: 81.819643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 82 | Time SentFromSrc: 81.819643 |End 
Source: Wf:00:00:00:00:10 | Message ID: 83 | Time SentFromSrc: 82.369643 |End 
