Source: /app/node4/item-22088 | Message ID: 88 | Time generated: 87.100000 | Time sentFromSrcR: 89.919847 | Time receivedFromSrcR: 93.853177 |End 
Source: /app/node4/item-22089 | Message ID: 89 | Time generated: 88.100000 | Time sentFromSrcR: 89.919847 | Time receivedFromSrcR: 93.867017 |End 
Source: /app/node4/item-22090 | Message ID: 90 | Time generated: 89.100000 | Time sentFromSrcR: 89.919847 | Time receivedFromSrcR: 93.880857 |End 
Source: /app/node4/item-22086 | Message ID: 86 | Time generated: 85.100000 | Time sentFromSrcR: 89.919847 | Time receivedFromSrcR: 95.425873 |End 
Source: /app/node4/item-22091 | Message ID: 91 | Time generated: 90.100000 | Time sentFromSrcR: 94.219847 | Time receivedFromSrcR: 95.536593 |End 
Source: /app/node4/item-22092 | Message ID: 92 | Time generated: 91.100000 | Time sentFromSrcR: 94.219847 | Time receivedFromSrcR: 95.550433 |End 
Source: /app/node4/item-22094 | Message ID: 94 | Time generated: 93.100000 | Time sentFromSrcR: 94.219847 | Time receivedFromSrcR: 95.564273 |End 
Source: /app/node4/item-22095 | Message ID: 95 | Time generated: 94.100000 | Time sentFromSrcR: 94.219847 | Time receivedFromSrcR: 95.578113 |End 
Source: /app/node4/item-22093 | Message ID: 93 | Time generated: 92.100000 | Time sentFromSrcR: 95.319847 | Time receivedFromSrcR: 97.658537 |End 
Source: /app/node4/item-22096 | Message ID: 96 | Time generated: 95.100000 | Time sentFromSrcR: 95.319847 | Time receivedFromSrcR: 98.153553 |End 
Source: /app/node4/item-22087 | Message ID: 87 | Time generated: 86.100000 | Time sentFromSrcR: 98.519847 | Time receivedFromSrcR: 98.694050 |End 
Source: /app/node4/item-22097 | Message ID: 97 | Time generated: 96.100000 | Time sentFromSrcR: 98.519847 | Time receivedFromSrcR: 99.239337 |End 
Source: /app/node4/item-22099 | Message ID: 99 | Time generated: 98.100000 | Time sentFromSrcR: 98.519847 | Time receivedFromSrcR: 99.267017 |End 
Source: /app/node4/item-22098 | Message ID: 98 | Time generated: 97.100000 | Time sentFromSrcR: 98.519847 | Time receivedFromSrcR: 100.811657 |End 
Source: /app/node4/item-22100 | Message ID: 100 | Time generated: 99.100000 | Time sentFromSrcR: 100.669847 | Time receivedFromSrcR: 112.353177 |End 
