RESULTS Sent DataMsg 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Thu Oct 17 04:08:31 2019
elapsed time: 2.7e-08s
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22001 | Message ID: 1 | Time SentFromNIC: 6.672160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22002 | Message ID: 2 | Time SentFromNIC: 6.686000 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22003 | Message ID: 3 | Time SentFromNIC: 6.699840 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22004 | Message ID: 4 | Time SentFromNIC: 6.713680 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22005 | Message ID: 5 | Time SentFromNIC: 6.727520 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22006 | Message ID: 6 | Time SentFromNIC: 6.741360 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22007 | Message ID: 7 | Time SentFromNIC: 6.755200 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22008 | Message ID: 8 | Time SentFromNIC: 7.222160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22009 | Message ID: 9 | Time SentFromNIC: 8.322160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22010 | Message ID: 10 | Time SentFromNIC: 9.422160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22011 | Message ID: 11 | Time SentFromNIC: 10.522160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22012 | Message ID: 12 | Time SentFromNIC: 11.622160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22013 | Message ID: 13 | Time SentFromNIC: 12.172160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22014 | Message ID: 14 | Time SentFromNIC: 13.272160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22015 | Message ID: 15 | Time SentFromNIC: 14.372160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22016 | Message ID: 16 | Time SentFromNIC: 15.472160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22017 | Message ID: 17 | Time SentFromNIC: 16.572160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22018 | Message ID: 18 | Time SentFromNIC: 17.122160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22019 | Message ID: 19 | Time SentFromNIC: 18.222160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22020 | Message ID: 20 | Time SentFromNIC: 19.322160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22021 | Message ID: 21 | Time SentFromNIC: 20.422160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22022 | Message ID: 22 | Time SentFromNIC: 21.522160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22023 | Message ID: 23 | Time SentFromNIC: 22.622160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22024 | Message ID: 24 | Time SentFromNIC: 23.172160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22025 | Message ID: 25 | Time SentFromNIC: 24.272160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22026 | Message ID: 26 | Time SentFromNIC: 25.372160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22027 | Message ID: 27 | Time SentFromNIC: 26.472160 | End 
Source: Wf:00:00:00:00:02 | NextDest: Wf:00:00:00:00:03 | Message ID: /app/node2/item-22028 | Message ID: 28 | Time SentFromNIC: 27.572160 | End 
