Source: /app/node5/item-22001 | Message ID: 1 | Time generated: 0.100000 | Time sentFromSrcR: 5.543568 | Time receivedFromSrcR: 5.557553 |End 
Source: /app/node5/item-22002 | Message ID: 2 | Time generated: 1.100000 | Time sentFromSrcR: 5.543568 | Time receivedFromSrcR: 5.571393 |End 
Source: /app/node5/item-22003 | Message ID: 3 | Time generated: 2.100000 | Time sentFromSrcR: 5.543568 | Time receivedFromSrcR: 5.585233 |End 
Source: /app/node5/item-22004 | Message ID: 4 | Time generated: 3.100000 | Time sentFromSrcR: 5.543568 | Time receivedFromSrcR: 5.599073 |End 
Source: /app/node5/item-22005 | Message ID: 5 | Time generated: 4.100000 | Time sentFromSrcR: 5.543568 | Time receivedFromSrcR: 5.612913 |End 
Source: /app/node5/item-22006 | Message ID: 6 | Time generated: 5.100000 | Time sentFromSrcR: 5.543568 | Time receivedFromSrcR: 5.626753 |End 
Source: /app/node5/item-22007 | Message ID: 7 | Time generated: 6.100000 | Time sentFromSrcR: 6.649057 | Time receivedFromSrcR: 6.663042 |End 
Source: /app/node5/item-22008 | Message ID: 8 | Time generated: 7.100000 | Time sentFromSrcR: 7.188928 | Time receivedFromSrcR: 7.216753 |End 
Source: /app/node5/item-22009 | Message ID: 9 | Time generated: 8.100000 | Time sentFromSrcR: 9.384443 | Time receivedFromSrcR: 9.426211 |End 
Source: /app/node5/item-22010 | Message ID: 10 | Time generated: 9.100000 | Time sentFromSrcR: 9.384443 | Time receivedFromSrcR: 9.453891 |End 
Source: /app/node5/item-22012 | Message ID: 12 | Time generated: 11.100000 | Time sentFromSrcR: 11.173035 | Time receivedFromSrcR: 11.242379 |End 
Source: /app/node5/item-22011 | Message ID: 11 | Time generated: 10.100000 | Time sentFromSrcR: 11.719643 | Time receivedFromSrcR: 11.747467 |End 
Source: /app/node5/item-22013 | Message ID: 13 | Time generated: 12.100000 | Time sentFromSrcR: 12.269643 | Time receivedFromSrcR: 12.283627 |End 
Source: /app/node5/item-22014 | Message ID: 14 | Time generated: 13.100000 | Time sentFromSrcR: 13.369643 | Time receivedFromSrcR: 13.383627 |End 
Source: /app/node5/item-22015 | Message ID: 15 | Time generated: 14.100000 | Time sentFromSrcR: 14.469643 | Time receivedFromSrcR: 14.507424 |End 
Source: /app/node5/item-22016 | Message ID: 16 | Time generated: 15.100000 | Time sentFromSrcR: 15.569643 | Time receivedFromSrcR: 15.598224 |End 
Source: /app/node5/item-22017 | Message ID: 17 | Time generated: 16.100000 | Time sentFromSrcR: 18.269643 | Time receivedFromSrcR: 18.930607 |End 
Source: /app/node5/item-22018 | Message ID: 18 | Time generated: 17.100000 | Time sentFromSrcR: 18.269643 | Time receivedFromSrcR: 18.985967 |End 
Source: /app/node5/item-22019 | Message ID: 19 | Time generated: 18.100000 | Time sentFromSrcR: 18.269643 | Time receivedFromSrcR: 18.999807 |End 
Source: /app/node5/item-22020 | Message ID: 20 | Time generated: 19.100000 | Time sentFromSrcR: 19.369643 | Time receivedFromSrcR: 19.412064 |End 
Source: /app/node5/item-22021 | Message ID: 21 | Time generated: 20.100000 | Time sentFromSrcR: 20.469643 | Time receivedFromSrcR: 20.498224 |End 
Source: /app/node5/item-22022 | Message ID: 22 | Time generated: 21.100000 | Time sentFromSrcR: 21.569643 | Time receivedFromSrcR: 21.598224 |End 
