RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Thu Oct 17 04:08:31 2019
elapsed time: 4.8e-08s
Source: Wf:00:00:00:00:02 | Message ID: 1 | Time SentFromSrc: 6.653762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 2 | Time SentFromSrc: 6.653762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 3 | Time SentFromSrc: 6.653762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 4 | Time SentFromSrc: 6.653762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 5 | Time SentFromSrc: 6.653762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 6 | Time SentFromSrc: 6.653762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 7 | Time SentFromSrc: 6.653762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 8 | Time SentFromSrc: 7.203762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 9 | Time SentFromSrc: 8.303762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 10 | Time SentFromSrc: 9.403762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 11 | Time SentFromSrc: 10.503762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 12 | Time SentFromSrc: 11.603762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 13 | Time SentFromSrc: 12.153762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 14 | Time SentFromSrc: 13.253762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 15 | Time SentFromSrc: 14.353762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 16 | Time SentFromSrc: 15.453762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 17 | Time SentFromSrc: 16.553762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 18 | Time SentFromSrc: 17.103762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 19 | Time SentFromSrc: 18.203762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 20 | Time SentFromSrc: 19.303762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 21 | Time SentFromSrc: 20.403762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 22 | Time SentFromSrc: 21.503762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 23 | Time SentFromSrc: 22.603762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 24 | Time SentFromSrc: 23.153762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 25 | Time SentFromSrc: 24.253762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 26 | Time SentFromSrc: 25.353762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 27 | Time SentFromSrc: 26.453762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 28 | Time SentFromSrc: 27.553762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 29 | Time SentFromSrc: 28.103762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 30 | Time SentFromSrc: 29.203762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 31 | Time SentFromSrc: 30.303762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 32 | Time SentFromSrc: 31.403762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 33 | Time SentFromSrc: 32.503762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 34 | Time SentFromSrc: 33.603762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 35 | Time SentFromSrc: 34.153762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 36 | Time SentFromSrc: 35.253762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 37 | Time SentFromSrc: 36.353762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 38 | Time SentFromSrc: 37.453762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 39 | Time SentFromSrc: 38.553762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 40 | Time SentFromSrc: 39.103762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 41 | Time SentFromSrc: 40.203762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 42 | Time SentFromSrc: 41.303762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 43 | Time SentFromSrc: 42.403762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 44 | Time SentFromSrc: 43.503762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 45 | Time SentFromSrc: 44.603762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 46 | Time SentFromSrc: 45.153762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 47 | Time SentFromSrc: 46.253762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 48 | Time SentFromSrc: 47.353762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 49 | Time SentFromSrc: 48.453762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 50 | Time SentFromSrc: 49.553762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 51 | Time SentFromSrc: 50.103762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 52 | Time SentFromSrc: 51.203762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 53 | Time SentFromSrc: 52.303762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 54 | Time SentFromSrc: 53.403762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 55 | Time SentFromSrc: 54.503762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 56 | Time SentFromSrc: 55.603762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 57 | Time SentFromSrc: 56.153762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 58 | Time SentFromSrc: 57.253762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 59 | Time SentFromSrc: 58.353762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 60 | Time SentFromSrc: 59.453762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 61 | Time SentFromSrc: 60.553762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 62 | Time SentFromSrc: 61.103762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 63 | Time SentFromSrc: 62.203762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 64 | Time SentFromSrc: 63.303762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 65 | Time SentFromSrc: 64.403762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 66 | Time SentFromSrc: 65.503762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 67 | Time SentFromSrc: 66.603762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 68 | Time SentFromSrc: 67.153762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 69 | Time SentFromSrc: 68.253762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 70 | Time SentFromSrc: 69.353762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 71 | Time SentFromSrc: 70.453762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 72 | Time SentFromSrc: 71.553762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 73 | Time SentFromSrc: 72.103762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 74 | Time SentFromSrc: 73.203762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 75 | Time SentFromSrc: 74.303762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 76 | Time SentFromSrc: 75.403762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 77 | Time SentFromSrc: 76.503762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 78 | Time SentFromSrc: 77.603762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 79 | Time SentFromSrc: 78.153762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 80 | Time SentFromSrc: 79.253762 |End 
Source: Wf:00:00:00:00:02 | Message ID: 81 | Time SentFromSrc: 80.353762 |End 
