RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Oct  1 00:06:23 2019
elapsed time: 6.2e-08s
Source: Wf:00:00:00:00:03 | Message ID: 1 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 2 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 3 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 4 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 5 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 6 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 7 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 8 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 9 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 10 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 11 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 12 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 13 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 14 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 15 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 16 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 17 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 18 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 19 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 20 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 21 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 22 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 23 | Time SentFromSrc: 43.164620 |End 
Source: Wf:00:00:00:00:03 | Message ID: 24 | Time SentFromSrc: 43.164620 |End 
