Weight: 61 | Time now: 1.114954 |End 
Weight: 61 | Time now: 1.664954 |End 
Weight: 61 | Time now: 2.214954 |End 
Weight: 61 | Time now: 2.764954 |End 
Weight: 61 | Time now: 3.314954 |End 
Weight: 61 | Time now: 3.864954 |End 
Weight: 61 | Time now: 4.414954 |End 
Weight: 61 | Time now: 4.964954 |End 
Weight: 61 | Time now: 5.514954 |End 
Weight: 61 | Time now: 6.064954 |End 
Weight: 61 | Time now: 6.614954 |End 
Weight: 61 | Time now: 8.164954 |End 
Weight: 61 | Time now: 8.714954 |End 
Weight: 61 | Time now: 9.264954 |End 
Weight: 61 | Time now: 9.814954 |End 
Weight: 61 | Time now: 10.364954 |End 
Weight: 61 | Time now: 10.914954 |End 
Weight: 61 | Time now: 11.464954 |End 
Weight: 61 | Time now: 12.014954 |End 
Weight: 61 | Time now: 12.564954 |End 
Weight: 61 | Time now: 13.114954 |End 
Weight: 61 | Time now: 13.664954 |End 
Weight: 61 | Time now: 14.214954 |End 
Weight: 61 | Time now: 14.764954 |End 
Weight: 61 | Time now: 16.314954 |End 
Weight: 61 | Time now: 16.864954 |End 
Weight: 61 | Time now: 17.414954 |End 
Weight: 61 | Time now: 17.964954 |End 
Weight: 61 | Time now: 18.514954 |End 
Weight: 61 | Time now: 19.064954 |End 
Weight: 61 | Time now: 19.614954 |End 
Weight: 61 | Time now: 20.164954 |End 
Weight: 61 | Time now: 20.714954 |End 
Weight: 61 | Time now: 21.264954 |End 
Weight: 61 | Time now: 21.814954 |End 
Weight: 61 | Time now: 22.364954 |End 
Weight: 61 | Time now: 22.914954 |End 
Weight: 61 | Time now: 23.464954 |End 
Weight: 61 | Time now: 24.014954 |End 
Weight: 61 | Time now: 24.564954 |End 
Weight: 61 | Time now: 25.114954 |End 
Weight: 61 | Time now: 25.664954 |End 
Weight: 61 | Time now: 26.214954 |End 
Weight: 61 | Time now: 26.764954 |End 
Weight: 61 | Time now: 27.314954 |End 
Weight: 61 | Time now: 27.864954 |End 
Weight: 61 | Time now: 28.414954 |End 
Weight: 61 | Time now: 28.964954 |End 
Weight: 61 | Time now: 30.864954 |End 
Weight: 61 | Time now: 31.414954 |End 
Weight: 61 | Time now: 31.964954 |End 
Weight: 61 | Time now: 32.514954 |End 
Weight: 61 | Time now: 33.064954 |End 
Weight: 61 | Time now: 33.614954 |End 
Weight: 61 | Time now: 34.164954 |End 
Weight: 61 | Time now: 34.714954 |End 
Weight: 61 | Time now: 35.264954 |End 
Weight: 61 | Time now: 35.814954 |End 
Weight: 61 | Time now: 36.364954 |End 
Weight: 61 | Time now: 36.914954 |End 
Weight: 61 | Time now: 37.464954 |End 
Weight: 61 | Time now: 38.014954 |End 
Weight: 61 | Time now: 38.564954 |End 
Weight: 61 | Time now: 39.314954 |End 
Weight: 61 | Time now: 39.964954 |End 
Weight: 61 | Time now: 40.514954 |End 
Weight: 61 | Time now: 41.064954 |End 
Weight: 61 | Time now: 41.614954 |End 
Weight: 61 | Time now: 42.164954 |End 
Weight: 61 | Time now: 44.064954 |End 
Weight: 61 | Time now: 44.614954 |End 
Weight: 61 | Time now: 45.164954 |End 
Weight: 61 | Time now: 45.714954 |End 
Weight: 61 | Time now: 46.264954 |End 
Weight: 61 | Time now: 46.814954 |End 
Weight: 61 | Time now: 47.364954 |End 
Weight: 61 | Time now: 47.914954 |End 
Weight: 61 | Time now: 48.464954 |End 
Weight: 61 | Time now: 49.014954 |End 
Weight: 61 | Time now: 49.564954 |End 
Weight: 61 | Time now: 50.114954 |End 
Weight: 61 | Time now: 50.664954 |End 
Weight: 61 | Time now: 51.214954 |End 
Weight: 61 | Time now: 51.764954 |End 
Weight: 61 | Time now: 52.314954 |End 
Weight: 61 | Time now: 52.864954 |End 
Weight: 61 | Time now: 53.414954 |End 
Weight: 61 | Time now: 53.964954 |End 
Weight: 61 | Time now: 54.514954 |End 
Weight: 61 | Time now: 56.114954 |End 
Weight: 61 | Time now: 56.664954 |End 
Weight: 61 | Time now: 57.214954 |End 
Weight: 61 | Time now: 59.114954 |End 
Weight: 61 | Time now: 59.664954 |End 
